P,N,E,N,N
3451,2197098.229,6521363.904,0,Standard Array Pier
3452,2197131.977,6521363.904,0,Standard Array Pier
3453,2197165.725,6521363.904,0,Standard Array Pier
3454,2196999.935,6521363.904,0,Standard Array Pier
3455,2196966.187,6521363.904,0,Standard Array Pier
3456,2197033.684,6521363.904,0,Standard Array Pier
3457,2197199.474,6521363.904,0,Standard Array Pier
3458,2195939.698,6521344.373,0,Standard Array Pier
3459,2195973.446,6521344.373,0,Standard Array Pier
3460,2196007.195,6521344.373,0,Standard Array Pier
3461,2195841.404,6521344.373,0,Standard Array Pier
3462,2195807.656,6521344.373,0,Standard Array Pier
3463,2195875.153,6521344.373,0,Standard Array Pier
3464,2197199.997,6521383.434,0,Standard Array Pier
3465,2195841.928,6521363.904,0,Standard Array Pier
3466,2195808.179,6521363.904,0,Standard Array Pier
3467,2197098.752,6521383.434,0,Standard Array Pier
3468,2197132.5,6521383.434,0,Standard Array Pier
3469,2197166.249,6521383.434,0,Standard Array Pier
3470,2195875.676,6521363.904,0,Standard Array Pier
3471,2196041.466,6521363.904,0,Standard Array Pier
3472,2196071.077,6521363.904,0,Standard Array Pier
3473,2196936.576,6521363.904,0,Standard Array Pier
3474,2195940.221,6521363.904,0,Standard Array Pier
3475,2195973.97,6521363.904,0,Standard Array Pier
3476,2196007.718,6521363.904,0,Standard Array Pier
3477,2196040.42,6521324.842,0,Standard Array Pier
3478,2196070.031,6521324.842,0,Standard Array Pier
3479,2196935.529,6521324.842,0,Standard Array Pier
3480,2195939.174,6521324.842,0,Standard Array Pier
3481,2195972.923,6521324.842,0,Standard Array Pier
3482,2196006.671,6521324.842,0,Standard Array Pier
3483,2196998.888,6521324.842,0,Standard Array Pier
3484,2197130.93,6521324.842,0,Standard Array Pier
3485,2197164.679,6521324.842,0,Standard Array Pier
3486,2197198.427,6521324.842,0,Standard Array Pier
3487,2196965.14,6521324.842,0,Standard Array Pier
3488,2197032.637,6521324.842,0,Standard Array Pier
3489,2197097.182,6521324.842,0,Standard Array Pier
3490,2196999.412,6521344.373,0,Standard Array Pier
3491,2196965.663,6521344.373,0,Standard Array Pier
3492,2197033.16,6521344.373,0,Standard Array Pier
3493,2196040.943,6521344.373,0,Standard Array Pier
3494,2196070.554,6521344.373,0,Standard Array Pier
3495,2196936.052,6521344.373,0,Standard Array Pier
3496,2197097.705,6521344.373,0,Standard Array Pier
3497,2195840.881,6521324.842,0,Standard Array Pier
3498,2195807.133,6521324.842,0,Standard Array Pier
3499,2195874.629,6521324.842,0,Standard Array Pier
3500,2197131.454,6521344.373,0,Standard Array Pier
3501,2197165.202,6521344.373,0,Standard Array Pier
3502,2197198.95,6521344.373,0,Standard Array Pier
3503,2196938.146,6521422.495,0,Standard Array Pier
3504,2197001.505,6521422.495,0,Standard Array Pier
3505,2196967.757,6521422.495,0,Standard Array Pier
3506,2196009.288,6521422.495,0,Standard Array Pier
3507,2196043.036,6521422.495,0,Standard Array Pier
3508,2196072.648,6521422.495,0,Standard Array Pier
3509,2197035.254,6521422.495,0,Standard Array Pier
3510,2197201.044,6521422.495,0,Standard Array Pier
3511,2195842.975,6521402.965,0,Standard Array Pier
3512,2195809.226,6521402.965,0,Standard Array Pier
3513,2197099.799,6521422.495,0,Standard Array Pier
3514,2197133.547,6521422.495,0,Standard Array Pier
3515,2197167.295,6521422.495,0,Standard Array Pier
3516,2197035.777,6521442.026,0,Standard Array Pier
3517,2197100.322,6521442.026,0,Standard Array Pier
3518,2197134.07,6521442.026,0,Standard Array Pier
3519,2196938.669,6521442.026,0,Standard Array Pier
3520,2197002.029,6521442.026,0,Standard Array Pier
3521,2196968.28,6521442.026,0,Standard Array Pier
3522,2197167.819,6521442.026,0,Standard Array Pier
3523,2195877.246,6521422.495,0,Standard Array Pier
3524,2195941.791,6521422.495,0,Standard Array Pier
3525,2195975.54,6521422.495,0,Standard Array Pier
3526,2197201.567,6521442.026,0,Standard Array Pier
3527,2195843.498,6521422.495,0,Standard Array Pier
3528,2195809.75,6521422.495,0,Standard Array Pier
3529,2195876.2,6521383.434,0,Standard Array Pier
3530,2195940.745,6521383.434,0,Standard Array Pier
3531,2195974.493,6521383.434,0,Standard Array Pier
3532,2197200.52,6521402.965,0,Standard Array Pier
3533,2195842.451,6521383.434,0,Standard Array Pier
3534,2195808.703,6521383.434,0,Standard Array Pier
3535,2196008.241,6521383.434,0,Standard Array Pier
3536,2197000.459,6521383.434,0,Standard Array Pier
3537,2196966.71,6521383.434,0,Standard Array Pier
3538,2197034.207,6521383.434,0,Standard Array Pier
3539,2196041.99,6521383.434,0,Standard Array Pier
3540,2196071.601,6521383.434,0,Standard Array Pier
3541,2196937.099,6521383.434,0,Standard Array Pier
3542,2196008.765,6521402.965,0,Standard Array Pier
3543,2196042.513,6521402.965,0,Standard Array Pier
