P,N,E,N,C
17.01.01.A,7230017.086,2685948.808,705.142904,Pink/Orange
17.01.01.B,7229987.774,2685948.808,705.271715,Pink/Orange
17.01.01.C,7229958.461,2685948.808,705.400531,Pink/White
17.01.01.D,7229929.148,2685948.808,705.529346,Pink/White
17.01.01.E,7229899.836,2685948.808,705.658157,Pink/White
17.01.01.F,7229870.523,2685948.808,705.786973,Pink/White
17.01.01.G,7229842.643,2685948.808,705.909491,Black/White
17.01.01.H,7229810.669,2685948.808,706.05,Pink/White
17.01.01.I,7229781.357,2685948.808,706.178812,Pink/White
17.01.01.J,7229752.044,2685948.808,706.307627,Pink/White
17.01.01.K,7229722.731,2685948.808,706.436443,Pink/Orange
17.01.01.L,7229693.419,2685948.808,706.565254,Pink/Orange
17.01.02.A,7230017.086,2685966.808,705.42298,Pink/Orange
17.01.02.B,7229987.774,2685966.808,705.533551,Pink/Orange
17.01.02.C,7229958.461,2685966.808,705.644126,Pink/White
17.01.02.D,7229929.148,2685966.808,705.754701,Pink/White
17.01.02.E,7229899.836,2685966.808,705.865272,Pink/White
17.01.02.F,7229870.523,2685966.808,705.975847,Pink/White
17.01.02.G,7229842.643,2685966.808,706.081016,Purple/White
17.01.02.H,7229810.669,2685966.808,706.201629,Pink/White
17.01.02.I,7229781.357,2685966.808,706.3122,Pink/White
17.01.02.J,7229752.044,2685966.808,706.422775,Pink/White
17.01.02.K,7229722.731,2685966.808,706.53335,Pink/Orange
17.01.02.L,7229693.419,2685966.808,706.643921,Pink/Orange
17.01.03.A,7230017.086,2685984.808,705.697379,Yellow/Orange
17.01.03.B,7229987.774,2685984.808,705.808096,Yellow/White
17.01.03.C,7229958.461,2685984.808,705.918818,Yellow/White
17.01.03.D,7229929.148,2685984.808,706.02954,Yellow/White
17.01.03.E,7229899.836,2685984.808,706.140257,Yellow/White
17.01.03.F,7229870.523,2685984.808,706.250979,Yellow/White
17.01.03.G,7229842.643,2685984.808,706.356288,Green/White
17.01.03.H,7229810.669,2685984.808,706.47706,Red/White
17.01.03.I,7229781.357,2685984.808,706.587778,Red/White
17.01.03.J,7229752.044,2685984.808,706.6985,Yellow/White
17.01.03.K,7229722.731,2685984.808,706.809221,Yellow/White
17.01.03.L,7229693.419,2685984.808,706.919939,Yellow/Orange
17.01.04.A,7230017.086,2686002.808,705.608949,Yellow/Orange
17.01.04.B,7229987.774,2686002.808,705.747539,Yellow/White
17.01.04.C,7229958.461,2686002.808,705.886134,Yellow/White
17.01.04.D,7229929.148,2686002.808,706.024729,Yellow/White
17.01.04.E,7229899.836,2686002.808,706.163319,Yellow/White
17.01.04.F,7229870.523,2686002.808,706.301914,Yellow/White
17.01.04.G,7229842.643,2686002.808,706.433733,Green/White
17.01.04.H,7229810.669,2686002.808,706.58491,Yellow/White
17.01.04.I,7229781.357,2686002.808,706.7235,Yellow/White
17.01.04.J,7229752.044,2686002.808,706.862095,Yellow/White
17.01.04.K,7229722.731,2686002.808,707.00069,Yellow/White
17.01.04.L,7229693.419,2686002.808,707.13928,Yellow/Orange
17.01.05.A,7230017.086,2686020.808,706.247578,Yellow/Orange
17.01.05.B,7229987.774,2686020.808,706.362708,Yellow/White
17.01.05.C,7229958.461,2686020.808,706.477843,Yellow/White
17.01.05.D,7229929.148,2686020.808,706.592978,Yellow/White
17.01.05.E,7229899.836,2686020.808,706.708108,Yellow/White
17.01.05.F,7229870.523,2686020.808,706.823243,Yellow/White
17.01.05.G,7229842.643,2686020.808,706.932749,Blue/White
17.01.05.H,7229810.669,2686020.808,707.058335,Yellow/White
17.01.05.I,7229781.357,2686020.808,707.173466,Yellow/White
17.01.05.J,7229752.044,2686020.808,707.2886,Yellow/White
17.01.05.K,7229722.731,2686020.808,707.403735,Yellow/White
17.01.05.L,7229693.419,2686020.808,707.518866,Yellow/Orange
17.01.06.A,7230017.086,2686038.808,706.5887,Yellow/Orange
17.01.06.B,7229987.774,2686038.808,706.699733,Yellow/White
17.01.06.C,7229958.461,2686038.808,706.810769,Yellow/White
17.01.06.D,7229929.148,2686038.808,706.921806,Yellow/White
17.01.06.E,7229899.836,2686038.808,707.032839,Yellow/White
17.01.06.F,7229870.523,2686038.808,707.143876,Yellow/White
17.01.06.G,7229842.643,2686038.808,707.249484,Blue/White
17.01.06.H,7229810.669,2686038.808,707.370601,Yellow/White
17.01.06.I,7229781.357,2686038.808,707.481633,Yellow/White
17.01.06.J,7229752.044,2686038.808,707.59267,Yellow/White
17.01.06.K,7229722.731,2686038.808,707.703707,Yellow/White
17.01.06.L,7229693.419,2686038.808,707.81474,Yellow/Orange
17.01.07.A,7230017.086,2686056.808,706.901119,Yellow/Orange
17.01.07.B,7229987.774,2686056.808,706.999324,Yellow/White
17.01.07.C,7229958.461,2686056.808,707.097532,Yellow/White
17.01.07.D,7229929.148,2686056.808,707.195741,Yellow/White
17.01.07.E,7229899.836,2686056.808,707.293946,Yellow/White
17.01.07.F,7229870.523,2686056.808,707.392155,Yellow/White
17.01.07.G,7229842.643,2686056.808,707.485562,Green/White
